scenario,month,group_id,origin_region,scope_type,wagon_type,scope_family,queued_wagons
lp_relaxation,3,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,-0.0
lp_relaxation,3,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,0.34285714285714286
lp_relaxation,3,R1-GDU-VRG,R1,GDU-VRG,GDU,VRG,1.0
lp_relaxation,3,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,0.0
lp_relaxation,3,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,0.0
lp_relaxation,3,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,-0.0
lp_relaxation,3,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,0.0
lp_relaxation,3,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,0.0
lp_relaxation,3,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,0.0
lp_relaxation,3,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,0.0
lp_relaxation,3,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,-0.0
lp_relaxation,3,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,1.0
lp_relaxation,3,R2-GDU-VRG,R2,GDU-VRG,GDU,VRG,1.0
lp_relaxation,3,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,0.0
lp_relaxation,3,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,0.0
lp_relaxation,3,R3-GDT-VR2,R3,GDT-VR2,GDT,VR2,0.0
lp_relaxation,3,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,-0.0
lp_relaxation,3,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,0.0
lp_relaxation,3,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,0.0
lp_relaxation,3,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,0.0
lp_relaxation,3,R3-GDU-VR2,R3,GDU-VR2,GDU,VR2,0.0
lp_relaxation,3,R3-GDU-VR4,R3,GDU-VR4,GDU,VR4,1.0
lp_relaxation,3,R3-GDU-VRG,R3,GDU-VRG,GDU,VRG,0.0
lp_relaxation,4,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,0.0
lp_relaxation,4,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,0.0
lp_relaxation,4,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,0.0
lp_relaxation,4,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,0.0
lp_relaxation,4,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,0.0
lp_relaxation,4,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,0.0
lp_relaxation,4,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,0.0
lp_relaxation,4,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,0.0
lp_relaxation,4,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,0.0
lp_relaxation,4,R1-GDU-VRG,R1,GDU-VRG,GDU,VRG,0.7391304347826089
lp_relaxation,4,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,0.0
lp_relaxation,4,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,0.0
lp_relaxation,4,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,0.0
lp_relaxation,4,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,0.0
lp_relaxation,4,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,0.0
lp_relaxation,4,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,0.0
lp_relaxation,4,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,0.0
lp_relaxation,4,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,0.0
lp_relaxation,4,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,0.0
lp_relaxation,4,R2-GDU-VRG,R2,GDU-VRG,GDU,VRG,0.0
lp_relaxation,4,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,0.0
lp_relaxation,4,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,0.0
lp_relaxation,4,R3-GDT-VR2,R3,GDT-VR2,GDT,VR2,0.0
lp_relaxation,4,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,0.0
lp_relaxation,4,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,0.0
lp_relaxation,4,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,0.0
lp_relaxation,4,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,0.0
lp_relaxation,4,R3-GDU-VR2,R3,GDU-VR2,GDU,VR2,0.0
lp_relaxation,4,R3-GDU-VR4,R3,GDU-VR4,GDU,VR4,0.0
lp_relaxation,4,R3-GDU-VRG,R3,GDU-VRG,GDU,VRG,0.0
lp_relaxation,5,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,0.0
lp_relaxation,5,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,0.0
lp_relaxation,5,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,-0.0
lp_relaxation,5,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,0.0
lp_relaxation,5,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,0.0
lp_relaxation,5,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,0.0
lp_relaxation,5,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,0.0
lp_relaxation,5,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,0.3571428571428571
lp_relaxation,5,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,2.0
lp_relaxation,5,R1-GDU-VRG,R1,GDU-VRG,GDU,VRG,1.7391304347826089
lp_relaxation,5,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,0.0
lp_relaxation,5,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,0.0
lp_relaxation,5,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,-0.0
lp_relaxation,5,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,0.0
lp_relaxation,5,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,2.15
lp_relaxation,5,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,0.0
lp_relaxation,5,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,0.0
lp_relaxation,5,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,1.0
lp_relaxation,5,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,1.0
lp_relaxation,5,R2-GDU-VRG,R2,GDU-VRG,GDU,VRG,1.0
lp_relaxation,5,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,0.0
lp_relaxation,5,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,0.0
lp_relaxation,5,R3-GDT-VR2,R3,GDT-VR2,GDT,VR2,-0.0
lp_relaxation,5,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,0.0
lp_relaxation,5,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,0.0
lp_relaxation,5,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,0.0
lp_relaxation,5,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,0.0
lp_relaxation,5,R3-GDU-VR2,R3,GDU-VR2,GDU,VR2,0.5714285714285714
lp_relaxation,5,R3-GDU-VR4,R3,GDU-VR4,GDU,VR4,1.0
lp_relaxation,5,R3-GDU-VRG,R3,GDU-VRG,GDU,VRG,1.0
lp_relaxation,6,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,0.0
lp_relaxation,6,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,0.0
lp_relaxation,6,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,0.0
lp_relaxation,6,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,0.0
lp_relaxation,6,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,0.0
lp_relaxation,6,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,0.0
lp_relaxation,6,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,0.0
lp_relaxation,6,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,0.0
lp_relaxation,6,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,2.314285714285714
lp_relaxation,6,R1-GDU-VRG,R1,GDU-VRG,GDU,VRG,2.739130434782609
lp_relaxation,6,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,0.0
lp_relaxation,6,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,0.0
lp_relaxation,6,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,0.0
lp_relaxation,6,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,0.0
lp_relaxation,6,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,0.0
lp_relaxation,6,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,0.0
lp_relaxation,6,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,0.0
lp_relaxation,6,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,0.0
lp_relaxation,6,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,2.0
lp_relaxation,6,R2-GDU-VRG,R2,GDU-VRG,GDU,VRG,1.0
lp_relaxation,6,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,0.0
lp_relaxation,6,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,0.0
lp_relaxation,6,R3-GDT-VR2,R3,GDT-VR2,GDT,VR2,-0.0
lp_relaxation,6,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,0.0
lp_relaxation,6,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,0.0
lp_relaxation,6,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,0.0
lp_relaxation,6,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,0.0
lp_relaxation,6,R3-GDU-VR2,R3,GDU-VR2,GDU,VR2,0.0
lp_relaxation,6,R3-GDU-VR4,R3,GDU-VR4,GDU,VR4,2.0
lp_relaxation,6,R3-GDU-VRG,R3,GDU-VRG,GDU,VRG,1.0
lp_relaxation,7,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,0.0
lp_relaxation,7,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,0.0
lp_relaxation,7,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,1.0
lp_relaxation,7,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,0.0
lp_relaxation,7,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,0.0
lp_relaxation,7,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,0.0
lp_relaxation,7,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,0.6666666666666665
lp_relaxation,7,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,1.0
lp_relaxation,7,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,4.314285714285714
lp_relaxation,7,R1-GDU-VRG,R1,GDU-VRG,GDU,VRG,3.739130434782609
lp_relaxation,7,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,0.0
lp_relaxation,7,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,0.0
lp_relaxation,7,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,1.0
lp_relaxation,7,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,0.0
lp_relaxation,7,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,0.0
lp_relaxation,7,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,0.0
lp_relaxation,7,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,4.0
lp_relaxation,7,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,1.0
lp_relaxation,7,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,2.142857142857143
lp_relaxation,7,R2-GDU-VRG,R2,GDU-VRG,GDU,VRG,2.0
lp_relaxation,7,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,0.0
lp_relaxation,7,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,0.0
lp_relaxation,7,R3-GDT-VR2,R3,GDT-VR2,GDT,VR2,-0.0
lp_relaxation,7,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,-0.0
lp_relaxation,7,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,0.0
lp_relaxation,7,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,0.0
lp_relaxation,7,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,2.0
lp_relaxation,7,R3-GDU-VR2,R3,GDU-VR2,GDU,VR2,1.0
lp_relaxation,7,R3-GDU-VR4,R3,GDU-VR4,GDU,VR4,3.0
lp_relaxation,7,R3-GDU-VRG,R3,GDU-VRG,GDU,VRG,1.0
lp_relaxation,8,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,0.0
lp_relaxation,8,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,0.0
lp_relaxation,8,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,-0.0
lp_relaxation,8,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,0.0
lp_relaxation,8,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,0.0
lp_relaxation,8,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,0.0
lp_relaxation,8,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,0.0
lp_relaxation,8,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,0.0
lp_relaxation,8,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,3.4285714285714284
lp_relaxation,8,R1-GDU-VRG,R1,GDU-VRG,GDU,VRG,3.739130434782609
lp_relaxation,8,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,0.0
lp_relaxation,8,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,0.0
lp_relaxation,8,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,-0.0
lp_relaxation,8,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,0.0
lp_relaxation,8,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,0.0
lp_relaxation,8,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,0.0
lp_relaxation,8,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,0.0
lp_relaxation,8,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,0.0
lp_relaxation,8,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,3.142857142857143
lp_relaxation,8,R2-GDU-VRG,R2,GDU-VRG,GDU,VRG,2.0
lp_relaxation,8,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,0.0
lp_relaxation,8,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,0.0
lp_relaxation,8,R3-GDT-VR2,R3,GDT-VR2,GDT,VR2,-0.0
lp_relaxation,8,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,0.0
lp_relaxation,8,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,0.0
lp_relaxation,8,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,0.0
lp_relaxation,8,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,0.0
lp_relaxation,8,R3-GDU-VR2,R3,GDU-VR2,GDU,VR2,-0.0
lp_relaxation,8,R3-GDU-VR4,R3,GDU-VR4,GDU,VR4,3.0
lp_relaxation,8,R3-GDU-VRG,R3,GDU-VRG,GDU,VRG,1.0
lp_relaxation,9,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,0.0
lp_relaxation,9,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,0.0
lp_relaxation,9,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,-0.0
lp_relaxation,9,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,0.0
lp_relaxation,9,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,0.0
lp_relaxation,9,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,0.0
lp_relaxation,9,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,0.0
lp_relaxation,9,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,0.0
lp_relaxation,9,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,1.2857142857142856
lp_relaxation,9,R1-GDU-VRG,R1,GDU-VRG,GDU,VRG,3.739130434782609
lp_relaxation,9,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,0.0
lp_relaxation,9,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,0.0
lp_relaxation,9,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,-0.0
lp_relaxation,9,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,0.0
lp_relaxation,9,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,0.0
lp_relaxation,9,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,0.0
lp_relaxation,9,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,0.0
lp_relaxation,9,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,0.0
lp_relaxation,9,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,4.142857142857142
lp_relaxation,9,R2-GDU-VRG,R2,GDU-VRG,GDU,VRG,2.0
lp_relaxation,9,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,0.0
lp_relaxation,9,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,0.0
lp_relaxation,9,R3-GDT-VR2,R3,GDT-VR2,GDT,VR2,-0.0
lp_relaxation,9,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,0.0
lp_relaxation,9,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,0.0
lp_relaxation,9,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,0.0
lp_relaxation,9,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,0.0
lp_relaxation,9,R3-GDU-VR2,R3,GDU-VR2,GDU,VR2,-0.0
lp_relaxation,9,R3-GDU-VR4,R3,GDU-VR4,GDU,VR4,4.0
lp_relaxation,9,R3-GDU-VRG,R3,GDU-VRG,GDU,VRG,1.0
lp_relaxation,10,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,0.0
lp_relaxation,10,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,0.0
lp_relaxation,10,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,-0.0
lp_relaxation,10,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,0.0
lp_relaxation,10,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,0.0
lp_relaxation,10,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,0.0
lp_relaxation,10,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,0.0
lp_relaxation,10,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,-0.0
lp_relaxation,10,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,2.2857142857142856
lp_relaxation,10,R1-GDU-VRG,R1,GDU-VRG,GDU,VRG,3.739130434782609
lp_relaxation,10,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,0.0
lp_relaxation,10,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,0.0
lp_relaxation,10,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,-0.0
lp_relaxation,10,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,0.0
lp_relaxation,10,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,0.0
lp_relaxation,10,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,0.0
lp_relaxation,10,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,0.0
lp_relaxation,10,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,-0.0
lp_relaxation,10,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,5.142857142857142
lp_relaxation,10,R2-GDU-VRG,R2,GDU-VRG,GDU,VRG,2.0
lp_relaxation,10,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,0.0
lp_relaxation,10,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,0.0
lp_relaxation,10,R3-GDT-VR2,R3,GDT-VR2,GDT,VR2,-0.0
lp_relaxation,10,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,-0.0
lp_relaxation,10,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,0.0
lp_relaxation,10,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,0.0
lp_relaxation,10,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,0.0
lp_relaxation,10,R3-GDU-VR2,R3,GDU-VR2,GDU,VR2,-0.0
lp_relaxation,10,R3-GDU-VR4,R3,GDU-VR4,GDU,VR4,0.8571428571428572
lp_relaxation,10,R3-GDU-VRG,R3,GDU-VRG,GDU,VRG,1.0
lp_relaxation,11,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,0.0
lp_relaxation,11,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,0.0
lp_relaxation,11,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,-0.0
lp_relaxation,11,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,0.0
lp_relaxation,11,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,0.0
lp_relaxation,11,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,0.0
lp_relaxation,11,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,0.0
lp_relaxation,11,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,-0.0
lp_relaxation,11,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,3.2857142857142856
lp_relaxation,11,R1-GDU-VRG,R1,GDU-VRG,GDU,VRG,3.739130434782609
lp_relaxation,11,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,0.0
lp_relaxation,11,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,0.0
lp_relaxation,11,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,-0.0
