workshop,scope_type,direct_cost,eligible,region,minimum_hh,nominal_maximum_hh,third_party,wagon_type,scope_family,gross_weight_kg,difficulty_index,hh_per_wagon,workload_units,service_days,queue_penalty,heavy_scope,origin_region,logistics_cost,transit_days,transit_unavailability_cost,retention_cost,composite_cost
PM1,GDU-VR1,70,1,R1,180,420,0,GDU,VR1,150000,1.153846,9,9,1.0,120,0,R3,28,1.5,9.0,3.0,110.0
PM1,GDU-VR2,110,1,R1,180,420,0,GDU,VR2,150000,1.153846,14,14,1.5,150,0,R1,4,0.5,3.0,4.5,121.5
PM1,GDU-VR2,110,1,R1,180,420,0,GDU,VR2,150000,1.153846,14,14,1.5,150,0,R2,45,2.5,15.0,4.5,174.5
PM1,GDU-VR2,110,1,R1,180,420,0,GDU,VR2,150000,1.153846,14,14,1.5,150,0,R3,28,1.5,9.0,4.5,151.5
PM1,GDU-VR4,115,0,R1,180,420,0,GDU,VR4,150000,1.153846,35,35,4.0,300,1,R1,4,0.5,3.0,12.0,134.0
PM1,GDU-VR4,115,0,R1,180,420,0,GDU,VR4,150000,1.153846,35,35,4.0,300,1,R2,45,2.5,15.0,12.0,187.0
PM1,GDU-VR4,115,0,R1,180,420,0,GDU,VR4,150000,1.153846,35,35,4.0,300,1,R3,28,1.5,9.0,12.0,164.0
PM1,GDU-VRG,140,0,R1,180,420,0,GDU,VRG,150000,1.153846,46,46,5.0,350,1,R1,4,0.5,3.0,15.0,162.0
PM1,GDU-VRG,140,0,R1,180,420,0,GDU,VRG,150000,1.153846,46,46,5.0,350,1,R2,45,2.5,15.0,15.0,215.0
PM1,GDU-VRG,140,0,R1,180,420,0,GDU,VRG,150000,1.153846,46,46,5.0,350,1,R3,28,1.5,9.0,15.0,192.0
PM1,GDU-VMC,90,1,R1,180,420,0,GDU,VMC,150000,1.153846,12,12,1.0,180,0,R1,4,0.5,3.0,3.0,100.0
PM1,GDU-VMC,90,1,R1,180,420,0,GDU,VMC,150000,1.153846,12,12,1.0,180,0,R2,45,2.5,15.0,3.0,153.0
PM1,GDU-VMC,90,1,R1,180,420,0,GDU,VMC,150000,1.153846,12,12,1.0,180,0,R3,28,1.5,9.0,3.0,130.0
PM2,GDT-VR1,75,1,R2,300,580,0,GDT,VR1,130000,1.0,8,8,1.0,120,0,R1,55,3.0,18.0,3.0,151.0
PM2,GDT-VR1,75,1,R2,300,580,0,GDT,VR1,130000,1.0,8,8,1.0,120,0,R2,4,0.5,3.0,3.0,85.0
PM2,GDT-VR1,75,1,R2,300,580,0,GDT,VR1,130000,1.0,8,8,1.0,120,0,R3,42,2.0,12.0,3.0,132.0
PM2,GDT-VR2,125,1,R2,300,580,0,GDT,VR2,130000,1.0,12,12,1.5,150,0,R1,55,3.0,18.0,4.5,202.5
PM2,GDT-VR2,125,1,R2,300,580,0,GDT,VR2,130000,1.0,12,12,1.5,150,0,R2,4,0.5,3.0,4.5,136.5
PM2,GDT-VR2,125,1,R2,300,580,0,GDT,VR2,130000,1.0,12,12,1.5,150,0,R3,42,2.0,12.0,4.5,183.5
PM2,GDT-VR4,105,1,R2,300,580,0,GDT,VR4,130000,1.0,30,30,4.0,300,1,R1,55,3.0,18.0,12.0,190.0
PM2,GDT-VR4,105,1,R2,300,580,0,GDT,VR4,130000,1.0,30,30,4.0,300,1,R2,4,0.5,3.0,12.0,124.0
PM2,GDT-VR4,105,1,R2,300,580,0,GDT,VR4,130000,1.0,30,30,4.0,300,1,R3,42,2.0,12.0,12.0,171.0
PM2,GDT-VRG,110,1,R2,300,580,0,GDT,VRG,130000,1.0,40,40,5.0,350,1,R1,55,3.0,18.0,15.0,198.0
PM2,GDT-VRG,110,1,R2,300,580,0,GDT,VRG,130000,1.0,40,40,5.0,350,1,R2,4,0.5,3.0,15.0,132.0
PM2,GDT-VRG,110,1,R2,300,580,0,GDT,VRG,130000,1.0,40,40,5.0,350,1,R3,42,2.0,12.0,15.0,179.0
PM2,GDT-VMC,70,1,R2,300,580,0,GDT,VMC,130000,1.0,10,10,1.0,180,0,R1,55,3.0,18.0,3.0,146.0
PM2,GDT-VMC,70,1,R2,300,580,0,GDT,VMC,130000,1.0,10,10,1.0,180,0,R2,4,0.5,3.0,3.0,80.0
PM2,GDT-VMC,70,1,R2,300,580,0,GDT,VMC,130000,1.0,10,10,1.0,180,0,R3,42,2.0,12.0,3.0,127.0
PM2,GDU-VR1,60,1,R2,300,580,0,GDU,VR1,150000,1.153846,9,9,1.0,120,0,R1,55,3.0,18.0,3.0,136.0
PM2,GDU-VR1,60,1,R2,300,580,0,GDU,VR1,150000,1.153846,9,9,1.0,120,0,R2,4,0.5,3.0,3.0,70.0
PM2,GDU-VR1,60,1,R2,300,580,0,GDU,VR1,150000,1.153846,9,9,1.0,120,0,R3,42,2.0,12.0,3.0,117.0
PM2,GDU-VR2,115,1,R2,300,580,0,GDU,VR2,150000,1.153846,14,14,1.5,150,0,R1,55,3.0,18.0,4.5,192.5
PM2,GDU-VR2,115,1,R2,300,580,0,GDU,VR2,150000,1.153846,14,14,1.5,150,0,R2,4,0.5,3.0,4.5,126.5
PM2,GDU-VR2,115,1,R2,300,580,0,GDU,VR2,150000,1.153846,14,14,1.5,150,0,R3,42,2.0,12.0,4.5,173.5
PM2,GDU-VR4,110,1,R2,300,580,0,GDU,VR4,150000,1.153846,35,35,4.0,300,1,R1,55,3.0,18.0,12.0,195.0
PM2,GDU-VR4,110,1,R2,300,580,0,GDU,VR4,150000,1.153846,35,35,4.0,300,1,R2,4,0.5,3.0,12.0,129.0
PM2,GDU-VR4,110,1,R2,300,580,0,GDU,VR4,150000,1.153846,35,35,4.0,300,1,R3,42,2.0,12.0,12.0,176.0
PM2,GDU-VRG,141,1,R2,300,580,0,GDU,VRG,150000,1.153846,46,46,5.0,350,1,R1,55,3.0,18.0,15.0,229.0
PM2,GDU-VRG,141,1,R2,300,580,0,GDU,VRG,150000,1.153846,46,46,5.0,350,1,R2,4,0.5,3.0,15.0,163.0
PM2,GDU-VRG,141,1,R2,300,580,0,GDU,VRG,150000,1.153846,46,46,5.0,350,1,R3,42,2.0,12.0,15.0,210.0
PM2,GDU-VMC,70,1,R2,300,580,0,GDU,VMC,150000,1.153846,12,12,1.0,180,0,R1,55,3.0,18.0,3.0,146.0
PM2,GDU-VMC,70,1,R2,300,580,0,GDU,VMC,150000,1.153846,12,12,1.0,180,0,R2,4,0.5,3.0,3.0,80.0
PM2,GDU-VMC,70,1,R2,300,580,0,GDU,VMC,150000,1.153846,12,12,1.0,180,0,R3,42,2.0,12.0,3.0,127.0
PM3,GDT-VR1,88,1,R3,160,380,1,GDT,VR1,130000,1.0,8,8,1.0,120,0,R1,30,1.5,9.0,8.0,135.0
PM3,GDT-VR1,88,1,R3,160,380,1,GDT,VR1,130000,1.0,8,8,1.0,120,0,R2,38,2.0,12.0,8.0,146.0
PM3,GDT-VR1,88,1,R3,160,380,1,GDT,VR1,130000,1.0,8,8,1.0,120,0,R3,4,0.5,3.0,8.0,103.0
PM3,GDT-VR2,118,1,R3,160,380,1,GDT,VR2,130000,1.0,12,12,1.5,150,0,R1,30,1.5,9.0,9.5,166.5
PM3,GDT-VR2,118,1,R3,160,380,1,GDT,VR2,130000,1.0,12,12,1.5,150,0,R2,38,2.0,12.0,9.5,177.5
PM3,GDT-VR2,118,1,R3,160,380,1,GDT,VR2,130000,1.0,12,12,1.5,150,0,R3,4,0.5,3.0,9.5,134.5
PM3,GDT-VR4,98,0,R3,160,380,1,GDT,VR4,130000,1.0,30,30,4.0,300,1,R1,30,1.5,9.0,17.0,154.0
PM3,GDT-VR4,98,0,R3,160,380,1,GDT,VR4,130000,1.0,30,30,4.0,300,1,R2,38,2.0,12.0,17.0,165.0
PM3,GDT-VR4,98,0,R3,160,380,1,GDT,VR4,130000,1.0,30,30,4.0,300,1,R3,4,0.5,3.0,17.0,122.0
PM3,GDT-VRG,112,0,R3,160,380,1,GDT,VRG,130000,1.0,40,40,5.0,350,1,R1,30,1.5,9.0,20.0,171.0
PM3,GDT-VRG,112,0,R3,160,380,1,GDT,VRG,130000,1.0,40,40,5.0,350,1,R2,38,2.0,12.0,20.0,182.0
PM3,GDT-VRG,112,0,R3,160,380,1,GDT,VRG,130000,1.0,40,40,5.0,350,1,R3,4,0.5,3.0,20.0,139.0
PM3,GDT-VMC,86,1,R3,160,380,1,GDT,VMC,130000,1.0,10,10,1.0,180,0,R1,30,1.5,9.0,8.0,133.0
PM3,GDT-VMC,86,1,R3,160,380,1,GDT,VMC,130000,1.0,10,10,1.0,180,0,R2,38,2.0,12.0,8.0,144.0
PM3,GDT-VMC,86,1,R3,160,380,1,GDT,VMC,130000,1.0,10,10,1.0,180,0,R3,4,0.5,3.0,8.0,101.0
PM3,GDU-VR1,68,1,R3,160,380,1,GDU,VR1,150000,1.153846,9,9,1.0,120,0,R1,30,1.5,9.0,8.0,115.0
PM3,GDU-VR1,68,1,R3,160,380,1,GDU,VR1,150000,1.153846,9,9,1.0,120,0,R2,38,2.0,12.0,8.0,126.0
PM3,GDU-VR1,68,1,R3,160,380,1,GDU,VR1,150000,1.153846,9,9,1.0,120,0,R3,4,0.5,3.0,8.0,83.0
PM3,GDU-VR2,108,1,R3,160,380,1,GDU,VR2,150000,1.153846,14,14,1.5,150,0,R1,30,1.5,9.0,9.5,156.5
PM3,GDU-VR2,108,1,R3,160,380,1,GDU,VR2,150000,1.153846,14,14,1.5,150,0,R2,38,2.0,12.0,9.5,167.5
PM3,GDU-VR2,108,1,R3,160,380,1,GDU,VR2,150000,1.153846,14,14,1.5,150,0,R3,4,0.5,3.0,9.5,124.5
PM3,GDU-VR4,109,0,R3,160,380,1,GDU,VR4,150000,1.153846,35,35,4.0,300,1,R1,30,1.5,9.0,17.0,165.0
PM3,GDU-VR4,109,0,R3,160,380,1,GDU,VR4,150000,1.153846,35,35,4.0,300,1,R2,38,2.0,12.0,17.0,176.0
PM3,GDU-VR4,109,0,R3,160,380,1,GDU,VR4,150000,1.153846,35,35,4.0,300,1,R3,4,0.5,3.0,17.0,133.0
PM3,GDU-VRG,135,0,R3,160,380,1,GDU,VRG,150000,1.153846,46,46,5.0,350,1,R1,30,1.5,9.0,20.0,194.0
PM3,GDU-VRG,135,0,R3,160,380,1,GDU,VRG,150000,1.153846,46,46,5.0,350,1,R2,38,2.0,12.0,20.0,205.0
PM3,GDU-VRG,135,0,R3,160,380,1,GDU,VRG,150000,1.153846,46,46,5.0,350,1,R3,4,0.5,3.0,20.0,162.0
PM3,GDU-VMC,86,1,R3,160,380,1,GDU,VMC,150000,1.153846,12,12,1.0,180,0,R1,30,1.5,9.0,8.0,133.0
PM3,GDU-VMC,86,1,R3,160,380,1,GDU,VMC,150000,1.153846,12,12,1.0,180,0,R2,38,2.0,12.0,8.0,144.0
PM3,GDU-VMC,86,1,R3,160,380,1,GDU,VMC,150000,1.153846,12,12,1.0,180,0,R3,4,0.5,3.0,8.0,101.0
