scenario,month,group_id,origin_region,scope_type,wagon_type,scope_family,workshop,allocated_wagons,total_hh,direct_cost,logistics_cost,unavailability_cost,retention_cost,composite_cost,local_assignment
full_milp,4,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,PM2,3.0,90.0,315.0,165.0,54.0,36.0,570.0,0
full_milp,4,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,PM2,4.0,160.0,440.0,220.0,72.0,60.0,792.0,0
full_milp,4,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,PM1,5.0,60.0,450.0,20.0,15.0,15.0,500.0,1
full_milp,4,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,PM1,4.0,36.0,280.0,16.0,12.0,12.0,320.0,1
full_milp,4,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,PM2,2.0,70.0,220.0,110.0,36.0,24.0,390.0,0
full_milp,4,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,PM3,10.0,100.0,860.0,380.0,120.0,80.0,1440.0,0
full_milp,4,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,PM3,8.0,64.0,704.0,304.0,96.0,64.0,1168.0,0
full_milp,4,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,PM2,1.0,30.0,105.0,4.0,3.0,12.0,124.0,1
full_milp,4,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,PM2,3.0,120.0,330.0,12.0,9.0,45.0,396.0,1
full_milp,4,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM1,1.0,12.0,90.0,45.0,15.0,3.0,153.0,0
full_milp,4,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM3,3.0,36.0,258.0,114.0,36.0,24.0,432.0,0
full_milp,4,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,PM1,1.0,9.0,70.0,45.0,15.0,3.0,133.0,0
full_milp,4,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,PM3,2.0,18.0,136.0,76.0,24.0,16.0,252.0,0
full_milp,4,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,PM2,1.0000000000000053,35.000000000000185,110.00000000000058,4.000000000000021,3.000000000000016,12.000000000000064,129.00000000000068,1
full_milp,4,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,PM3,4.0,40.0,344.0,16.0,12.0,32.0,404.0,1
full_milp,4,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,PM3,3.0,24.0,264.0,12.0,9.0,24.0,309.0,1
full_milp,4,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,PM2,1.0,40.0,110.0,42.0,12.0,15.0,179.0,0
full_milp,4,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,PM3,1.0,12.0,86.0,4.0,3.0,8.0,101.0,1
full_milp,4,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,PM3,1.0,9.0,68.0,4.0,3.0,8.0,83.0,1
full_milp,4,R3-GDU-VR4,R3,GDU-VR4,GDU,VR4,PM2,0.9999999999999947,34.999999999999815,109.99999999999942,41.99999999999977,11.999999999999936,11.999999999999936,175.99999999999906,0
full_milp,5,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,PM1,13.0,130.0,1170.0,52.0,39.0,39.0,1300.0,1
full_milp,5,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,PM1,10.0,80.0,950.0,40.0,30.0,30.0,1050.0,1
full_milp,5,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,PM1,1.0,12.0,120.0,4.0,3.0,4.5,131.5,1
full_milp,5,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,PM2,2.0,60.0,210.0,110.0,36.0,24.0,380.0,0
full_milp,5,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,PM2,4.0,160.0,440.0,220.0,72.0,60.0,792.0,0
full_milp,5,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,PM1,5.0,60.0,450.0,20.0,15.0,15.0,500.0,1
full_milp,5,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,PM1,5.0,45.0,350.0,20.0,15.0,15.0,400.0,1
full_milp,5,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,PM1,1.0,14.0,110.0,4.0,3.0,4.5,121.5,1
full_milp,5,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,PM2,0.9999999999999947,34.999999999999815,109.99999999999942,54.99999999999971,17.999999999999904,11.999999999999936,194.99999999999895,0
full_milp,5,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,PM3,11.0,110.0,946.0,418.0,132.0,88.0,1584.0,0
full_milp,5,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,PM3,9.0,72.0,792.0,342.0,108.0,72.0,1314.0,0
full_milp,5,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,PM1,1.0,12.0,120.0,45.0,15.0,4.5,184.5,0
full_milp,5,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,PM2,2.0,60.0,210.0,8.0,6.0,24.0,248.0,1
full_milp,5,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,PM2,2.0,80.0,220.0,8.0,6.0,30.0,264.0,1
full_milp,5,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM1,2.0,24.0,180.0,90.0,30.0,6.0,306.0,0
full_milp,5,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM3,3.0,36.0,258.0,114.0,36.0,24.0,432.0,0
full_milp,5,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,PM3,4.0,36.0,272.0,152.0,48.0,32.0,504.0,0
full_milp,5,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,PM3,4.0,40.0,344.0,16.0,12.0,32.0,404.0,1
full_milp,5,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,PM3,4.0,32.0,352.0,16.0,12.0,32.0,412.0,1
full_milp,5,R3-GDT-VR2,R3,GDT-VR2,GDT,VR2,PM3,1.0,12.0,118.0,4.0,3.0,9.5,134.5,1
full_milp,5,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,PM2,1.0,30.0,105.0,42.0,12.0,12.0,171.0,0
full_milp,5,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,PM3,2.0,24.0,172.0,8.0,6.0,16.0,202.0,1
full_milp,5,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,PM3,2.0,18.0,136.0,8.0,6.0,16.0,166.0,1
full_milp,5,R3-GDU-VR4,R3,GDU-VR4,GDU,VR4,PM2,1.0000000000000053,35.000000000000185,110.00000000000058,42.00000000000023,12.000000000000064,12.000000000000064,176.00000000000094,0
full_milp,6,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,PM1,12.0,120.0,1080.0,48.0,36.0,36.0,1200.0,1
full_milp,6,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,PM1,10.0,80.0,950.0,40.0,30.0,30.0,1050.0,1
full_milp,6,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,PM2,2.0,60.0,210.0,110.0,36.0,24.0,380.0,0
full_milp,6,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,PM2,1.000000000000003,40.00000000000013,110.00000000000034,55.00000000000017,18.000000000000057,15.000000000000046,198.00000000000063,0
full_milp,6,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,PM1,5.0,60.0,450.0,20.0,15.0,15.0,500.0,1
full_milp,6,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,PM1,4.0,36.0,280.0,16.0,12.0,12.0,320.0,1
full_milp,6,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,PM1,1.0,14.0,110.0,4.0,3.0,4.5,121.5,1
full_milp,6,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,PM3,11.0,110.0,946.0,418.0,132.0,88.0,1584.0,0
full_milp,6,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,PM3,9.0,72.0,792.0,342.0,108.0,72.0,1314.0,0
full_milp,6,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,PM2,2.0,60.0,210.0,8.0,6.0,24.0,248.0,1
full_milp,6,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,PM2,5.0,200.0,550.0,20.0,15.0,75.0,660.0,1
full_milp,6,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM3,4.0,48.0,344.0,152.0,48.0,32.0,576.0,0
full_milp,6,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,PM1,1.0,9.0,70.0,45.0,15.0,3.0,133.0,0
full_milp,6,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,PM3,3.0,27.0,204.0,114.0,36.0,24.0,378.0,0
full_milp,6,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,PM1,2.0,28.0,220.0,90.0,30.0,9.0,349.0,0
full_milp,6,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,PM2,1.999999999999998,69.99999999999993,219.99999999999977,7.999999999999992,5.999999999999994,23.999999999999975,257.9999999999997,1
full_milp,6,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,PM3,4.0,40.0,344.0,16.0,12.0,32.0,404.0,1
full_milp,6,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,PM3,3.0,24.0,264.0,12.0,9.0,24.0,309.0,1
full_milp,6,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,PM2,1.0,30.0,105.0,42.0,12.0,12.0,171.0,0
full_milp,6,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,PM2,3.0,120.0,330.0,126.0,36.0,45.0,537.0,0
full_milp,6,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,PM3,2.0,24.0,172.0,8.0,6.0,16.0,202.0,1
full_milp,6,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,PM3,2.0,18.0,136.0,8.0,6.0,16.0,166.0,1
full_milp,6,R3-GDU-VR2,R3,GDU-VR2,GDU,VR2,PM3,1.0,14.0,108.0,4.0,3.0,9.5,124.5,1
full_milp,7,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,PM1,13.0,130.0,1170.0,52.0,39.0,39.0,1300.0,1
full_milp,7,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,PM1,10.0,80.0,950.0,40.0,30.0,30.0,1050.0,1
full_milp,7,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,PM1,1.0,12.0,120.0,4.0,3.0,4.5,131.5,1
full_milp,7,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,PM2,2.0,60.0,210.0,110.0,36.0,24.0,380.0,0
full_milp,7,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,PM2,3.0000000000000018,120.00000000000007,330.00000000000017,165.00000000000009,54.00000000000003,45.00000000000003,594.0000000000003,0
full_milp,7,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,PM1,5.0,60.0,450.0,20.0,15.0,15.0,500.0,1
full_milp,7,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,PM3,11.0,110.0,946.0,418.0,132.0,88.0,1584.0,0
full_milp,7,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,PM3,9.000000000000009,72.00000000000007,792.0000000000008,342.00000000000034,108.00000000000011,72.00000000000007,1314.0000000000014,0
full_milp,7,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,PM2,2.0,60.0,210.0,8.0,6.0,24.0,248.0,1
full_milp,7,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,PM2,4.0,160.0,440.0,16.0,12.0,60.0,528.0,1
full_milp,7,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM1,2.000000000000002,24.00000000000003,180.0000000000002,90.0000000000001,30.000000000000032,6.000000000000007,306.00000000000034,0
full_milp,7,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM3,2.999999999999998,35.99999999999997,257.99999999999983,113.99999999999991,35.99999999999997,23.999999999999982,431.99999999999966,0
full_milp,7,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,PM1,1.0000000000000067,9.00000000000006,70.00000000000047,45.0000000000003,15.0000000000001,3.00000000000002,133.00000000000088,0
full_milp,7,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,PM3,0.9999999999999934,8.999999999999941,67.99999999999956,37.99999999999975,11.999999999999922,7.999999999999948,125.99999999999918,0
full_milp,7,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,PM2,1.9999999999999964,69.99999999999987,219.9999999999996,7.999999999999986,5.999999999999989,23.999999999999957,257.99999999999955,1
full_milp,7,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,PM3,4.0,40.0,344.0,16.0,12.0,32.0,404.0,1
full_milp,7,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,PM3,4.0,32.0,352.0,16.0,12.0,32.0,412.0,1
full_milp,7,R3-GDT-VR4,R3,GDT-VR4,GDT,VR4,PM2,1.0,30.0,105.0,42.0,12.0,12.0,171.0,0
full_milp,7,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,PM2,2.0,80.0,220.0,84.0,24.0,30.0,358.0,0
full_milp,7,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,PM3,2.0,24.0,172.0,8.0,6.0,16.0,202.0,1
full_milp,8,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,PM1,11.0,110.0,990.0,44.0,33.0,33.0,1100.0,1
full_milp,8,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,PM1,9.0,72.0,855.0,36.0,27.0,27.0,945.0,1
full_milp,8,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,PM2,1.0,30.0,105.0,55.0,18.0,12.0,190.0,0
full_milp,8,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,PM2,2.0000000000000004,80.00000000000001,220.00000000000006,110.00000000000003,36.00000000000001,30.000000000000007,396.0000000000001,0
full_milp,8,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,PM1,5.0,60.0,450.0,20.0,15.0,15.0,500.0,1
full_milp,8,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,PM1,8.0,72.0,560.0,32.0,24.0,24.0,640.0,1
full_milp,8,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,PM1,1.0,14.0,110.0,4.0,3.0,4.5,121.5,1
full_milp,8,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,PM2,2.9999999999999996,104.99999999999999,329.99999999999994,164.99999999999997,53.99999999999999,35.99999999999999,584.9999999999999,0
full_milp,8,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,PM3,10.0,100.0,860.0,380.0,120.0,80.0,1440.0,0
full_milp,8,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,PM3,8.0,64.0,704.0,304.0,96.0,64.0,1168.0,0
full_milp,8,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,PM1,0.9999999999999976,11.999999999999972,119.9999999999997,44.99999999999989,14.999999999999963,4.499999999999989,184.49999999999955,0
full_milp,8,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,PM2,1.0,30.0,105.0,4.0,3.0,12.0,124.0,1
full_milp,8,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,PM2,3.0,120.0,330.0,12.0,9.0,45.0,396.0,1
full_milp,8,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM3,4.0,48.0,344.0,152.0,48.0,32.0,576.0,0
full_milp,8,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,PM3,5.0,45.0,340.0,190.0,60.0,40.0,630.0,0
full_milp,8,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,PM1,1.0,14.0,110.0,45.0,15.0,4.5,174.5,0
full_milp,8,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,PM3,4.0,40.0,344.0,16.0,12.0,32.0,404.0,1
full_milp,8,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,PM3,3.0,24.0,264.0,12.0,9.0,24.0,309.0,1
full_milp,8,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,PM2,1.0,40.0,110.0,42.0,12.0,15.0,179.0,0
full_milp,8,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,PM3,1.0,12.0,86.0,4.0,3.0,8.0,101.0,1
full_milp,8,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,PM3,3.0,27.0,204.0,12.0,9.0,24.0,249.0,1
full_milp,8,R3-GDU-VR2,R3,GDU-VR2,GDU,VR2,PM3,1.0,14.0,108.0,4.0,3.0,9.5,124.5,1
full_milp,9,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,PM1,12.0,120.0,1080.0,48.0,36.0,36.0,1200.0,1
full_milp,9,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,PM1,10.0,80.0,950.0,40.0,30.0,30.0,1050.0,1
full_milp,9,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,PM2,2.0,60.0,210.0,110.0,36.0,24.0,380.0,0
full_milp,9,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,PM2,8.999999999999995,359.9999999999998,989.9999999999994,494.9999999999997,161.99999999999991,134.99999999999991,1781.9999999999989,0
full_milp,9,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,PM1,5.0,60.0,450.0,20.0,15.0,15.0,500.0,1
full_milp,9,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,PM1,4.0,36.0,280.0,16.0,12.0,12.0,320.0,1
full_milp,9,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,PM1,1.0,14.0,110.0,4.0,3.0,4.5,121.5,1
full_milp,9,R1-GDU-VR4,R1,GDU-VR4,GDU,VR4,PM2,2.0,70.0,220.0,110.0,36.0,24.0,390.0,0
