month,group_id,origin_region,scope_type,wagon_type,scope_family,demand
10,R3-GDU-VRG,R3,GDU-VRG,GDU,VRG,0
11,R3-GDU-VRG,R3,GDU-VRG,GDU,VRG,0
12,R3-GDU-VRG,R3,GDU-VRG,GDU,VRG,0
1,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,4
2,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,5
3,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,5
4,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,5
5,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,5
6,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,5
7,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,5
8,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,5
9,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,5
10,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,5
11,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,4
12,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,5
1,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,4
2,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,4
3,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,5
4,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,4
5,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,5
6,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,4
7,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,5
8,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,4
9,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,4
10,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,4
11,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,4
12,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,4
1,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,1
2,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,1
3,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,2
4,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,1
5,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,2
6,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,2
7,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,2
8,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,1
9,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,2
10,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,2
11,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,1
12,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,2
